Step	Train_Loss	Val_Loss	Learning_Rate	Eval_Time	Avg_Step_Time	Total_Time
0	4.593142	4.591558	3.00e-04	21.13	0.0000	21.13
300	2.162041	2.024358	3.00e-04	21.58	0.1895	103.00
600	1.613170	1.553744	3.00e-04	22.66	0.2064	184.78
900	1.371361	1.386377	3.00e-04	22.89	0.2004	266.88
1200	1.248894	1.309398	3.00e-04	22.23	0.2059	349.71
1500	1.165130	1.253324	3.00e-04	23.25	0.2067	434.27
1800	1.101694	1.221246	3.00e-04	21.49	0.2074	517.61
2100	1.045916	1.195935	3.00e-04	20.66	0.1867	595.37
2400	0.995950	1.178229	3.00e-04	20.66	0.1870	672.27
2700	0.952782	1.162681	3.00e-04	20.65	0.1869	749.33
3000	0.918310	1.159881	3.00e-04	20.65	0.1869	826.23
3300	0.874606	1.158786	3.00e-04	20.68	0.1869	903.15
3600	0.837143	1.149878	3.00e-04	20.66	0.1870	980.09
3900	0.805095	1.148095	3.00e-04	20.66	0.1869	1056.99
4200	0.767689	1.122152	3.00e-04	20.67	0.1868	1133.88
4500	0.737292	1.133818	3.00e-04	20.65	0.1868	1210.77
4800	0.700385	1.139946	3.00e-04	20.67	0.1869	1287.49
4999	0.679883	1.134118	3.00e-04	20.66	0.1869	1345.34
